IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:99e8:1721:fb82:9361:5c2e:7948,44,100,57,0
2606:4700:99e7:6eff:6c14:e215:fe72:f8f4,32,102,58,0
2606:4700:9a9b:8767:5f1:13e9:b005:f9da,37,100,58,0
2606:4700:99e1:a237:e66:deee:c6bf:975a,39,99,58,0
2606:4700:99e4:300f:c3ae:3d27:46a3:24ea,44,100,58,0
2606:4700:9ad5:990c:661:4e3d:c2ed:e897,31,88,58,0
2606:4700:99e5:25a2:d4d0:4976:db91:f6f6,44,98,58,0
2606:4700:9ae0:d443:cb6b:a6d1:9704:c157,45,100,58,0
2606:4700:99e6:bbbb:5097:c0c5:9db9:3eda,39,121,59,0
2606:4700:99e0:abd:eee2:dbc2:9b21:7c94,44,100,59,0
2606:4700:99e9:e9d5:8db9:3c39:2f15:139e,41,90,59,0
2606:4700:99ea:ff3a:83e8:78de:867e:debd,40,102,59,0
2606:4700:9a60:86d8:e301:5338:bb9c:d463,36,102,59,0
2606:4700:9ae1:9b72:fcd:bee4:4c57:65c3,38,107,59,0
2606:4700:99eb:9071:8cba:bc8d:f998:2847,36,98,59,0
2606:4700:99e2:aef3:3ef2:9b44:bc49:5727,45,97,60,0
2606:4700:99e3:a408:f098:4a35:5f91:465,45,95,60,0
2606:4700:9ad0:a0ab:d52e:48e3:edd7:3a13,35,104,60,0
2606:4700:9ad2:a899:98d7:1a7e:6905:46f0,44,99,60,0
2606:4700:9ad6:8433:6431:12a7:6919:2334,47,101,61,0
2606:4700:9b01:2415:e438:210:a027:809,46,76,61,0
2606:4700:9ad1:aa1b:2d82:83b9:146:ee10,47,110,61,0
2606:4700:8392:625e:cb23:2857:99e1:b2aa,40,71,61,0
2606:4700:8393:13ed:4890:b255:c0af:a321,37,77,62,0
2606:4700:9769:fb2f:af73:517d:9c67:be8b,29,81,62,0
2606:4700:9ad3:6fb7:f7ac:3881:b775:d17e,50,99,62,0
2606:4700:9c6a:1a2b:8c69:d746:d47e:2c0c,45,74,62,0
2606:4700:9644:5e52:9e0:671:c026:a9bf,45,79,63,0
2606:4700:9b03:3dbb:a6f8:90f8:fc43:a45d,41,77,63,0
2606:4700:9763:f20c:5783:8f36:a624:db97,46,77,63,0
2606:4700:90d3:df82:9c12:90d8:6ed8:67d8,38,80,63,0
2606:4700:9b02:1320:fa3:1191:2980:d78f,50,78,63,0
2606:4700:9b0a:8fe8:9217:253f:d91:c969,45,74,63,0
2606:4700:8398:36c7:3aa:d87d:9813:98a,51,79,63,0
2606:4700:57:638:100d:926d:e089:4b92,36,78,63,0
2606:4700:90ca:be7c:650b:aa66:7bac:51c4,47,80,63,0
2606:4700:90c9:dad6:e2c7:51d5:4ec2:2e8d,36,81,63,0
2606:4700:91b7:90ff:dc75:1756:c8a7:71bb,45,78,63,0
2606:4700:91ba:1ec1:58d9:9fdb:2cc5:9cce,45,82,63,0
2606:4700:976b:8f15:7930:6b15:4efc:3fa8,34,80,63,0
2606:4700:839b:2a3f:e7cc:c3be:f485:5344,46,76,63,0
2606:4700:8396:70fa:e44:a00c:7385:6ed,50,73,63,0
2606:4700:90cb:9ffc:aa1:1aab:70af:cc02,43,83,63,0
2606:4700:90c2:babc:a530:b2de:9dfc:29d7,43,84,64,0
2a06:98c1:3121:9587:3f42:8870:4f15:ef08,40,88,64,0
2606:4700:8ca5:b5db:386:3fb8:845c:3dce,45,82,64,0
2606:4700:9b05:f7a4:1e63:70bc:3b28:9d0e,36,89,64,0
2606:4700:90c3:6a50:a62e:da67:8e73:c905,55,74,64,0
2606:4700:8397:954e:6e31:a21b:49f7:7aa8,50,73,64,0
2606:4700:9649:4868:446b:3692:1421:6402,43,86,64,0
2606:4700:8ca6:a90b:c13f:19e1:3e9c:9121,47,81,64,0
2606:4700:9a69:9094:f99:c189:dcc0:446a,46,82,64,0
2606:4700:8395:2e86:8e89:cd45:fb07:354c,51,75,64,0
2606:4700:9b0b:3d8e:f3b6:2dce:a022:c88a,49,80,64,0
2606:4700:9c67:79cf:6cce:4301:173d:382a,50,80,64,0
2606:4700:9a67:9cc1:3a43:dfbd:f6e2:79af,47,87,64,0
2606:4700:90da:5dd2:3e12:71ee:53b8:2090,38,89,64,0
2606:4700:964b:534:25c:61c5:845e:a790,35,85,64,0
2606:4700:9b09:e0d5:bf2d:d3cf:efbe:41a6,45,81,65,0
2606:4700:9ae4:c617:4d1e:a197:83d4:c16e,45,90,65,0
2606:4700:f4:aae:1066:62e0:6c3c:9ee2,48,83,65,0
