IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:99e3:38ea:fe5c:936:37bc:7292,40,66,54,0
2606:4700:99e4:a2d8:5c:873b:d5a5:5bcb,39,67,54,0
2606:4700:99e5:898c:e0f0:6ec5:a2c6:d610,36,62,54,0
2606:4700:99e6:1b2b:ff49:408b:9e6c:3ee6,45,61,55,0
2606:4700:99e7:c4b8:7efa:99f5:bc8d:4f29,40,80,56,0
2606:4700:9aea:b0d4:9b2a:7323:f91f:dc19,39,90,58,0
2606:4700:99e1:266:ec23:5296:deda:9a54,42,89,58,0
2606:4700:90d0:ed2a:6b86:e0f0:375d:53e3,41,90,58,0
2606:4700:99e2:3fe7:d37a:3b30:e850:5d94,41,92,58,0
2606:4700:91b1:da48:72b7:8388:f04a:d032,39,82,59,0
2606:4700:9767:2eb5:43fb:bd84:d62b:a705,41,92,59,0
2606:4700:90d1:a94:e2a5:7bd1:da9b:f4ad,38,73,59,0
2606:4700:9ae7:b3b:1f81:34c8:e290:78eb,35,90,59,0
2606:4700:99e0:ce6f:87a0:736e:18ef:9c3c,45,79,60,0
2606:4700:9ae8:a430:bef:84c7:7a52:6c79,35,79,60,0
2606:4700:9766:1c4f:3635:8cfc:ede9:d117,37,90,60,0
2606:4700:8ca0:6039:38de:6201:7115:bfa6,44,84,60,0
2606:4700:9a63:ebf9:a001:92ed:20ab:98db,35,73,61,0
2606:4700:9768:f96d:59d6:ff8f:bab4:53e6,39,73,61,0
2606:4700:9c67:b1b0:9714:9ff8:ca49:8857,44,82,61,0
2606:4700:90d7:42d5:efa4:1bbb:7fca:99e0,41,77,61,0
2606:4700:9a60:2f41:72d7:d252:a7a2:a672,47,80,62,0
2606:4700:9769:ab25:6576:3731:782c:6dbb,40,91,62,0
2606:4700:9ae2:c59d:20a3:16b1:d9e:216f,44,91,62,0
2606:4700:9a91:c952:68d2:5672:6f75:5752,49,93,62,0
2606:4700:9761:a93:5980:1086:86a8:3841,38,86,62,0
2606:4700:9aeb:397c:355f:8397:6fbd:86c5,47,89,62,0
2606:4700:9765:d7ab:fa68:d8c7:2949:9160,44,90,62,0
2606:4700:8395:a0ab:49e5:7d77:f56b:5fdf,40,93,63,0
2606:4700:9a68:4bf8:7969:7437:b4f6:90ba,49,86,63,0
2606:4700:91b7:7205:a1fc:b57a:a7b9:bb2,45,86,63,0
2606:4700:90d2:b769:b590:a6a3:5bf:b2a3,43,91,63,0
2606:4700:9ad8:68d5:2cf1:5d2b:7c19:c4f6,49,86,63,0
2606:4700:8ca6:34d3:f911:1bbc:279:416,32,96,63,0
2606:4700:9647:c5f7:2a36:5d75:1faa:a7e1,43,86,63,0
2606:4700:90ca:fcf6:b12:5d00:9a30:eb9d,46,86,63,0
2606:4700:9763:d611:6448:533f:a35:3850,44,85,63,0
2606:4700:9641:a8f3:7b33:cc6f:9631:f8e7,44,86,63,0
2606:4700:9645:7d78:a121:4e24:ba71:7d5a,35,84,63,0
2606:4700:9649:aaeb:83ae:b609:e043:a998,35,86,64,0
2606:4700:9a67:9a1:b7be:cdaf:3455:fd56,46,83,64,0
2606:4700:9c65:f5a1:780c:2daf:1009:5dea,32,97,64,0
2606:4700:99ea:2ed2:3f33:5bcc:e0f0:6c8b,49,88,64,0
2606:4700:90d3:3382:c07a:7f77:c581:41ce,49,93,64,0
2606:4700:9a64:8667:5891:4931:652c:7808,37,83,64,0
