IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:3004:55a4:b1b2:582e:89cb:42ee,206,258,222,0
2606:4700:a0:9b16:9555:7561:9688:eca4,195,239,224,0
2606:4700:54:932a:4374:7b53:7615:d3e6,214,240,224,0
2606:4700:3017:c0e4:8fae:bdc4:5f2a:1d45,209,240,225,0
2606:4700:58:d5a4:5518:fb2:7bd6:dc8f,212,237,226,0
2606:4700:3026:c688:7da1:9186:1552:6d3c,205,246,226,0
2606:4700:7:5201:7f51:628d:4181:8692,208,253,226,0
2a06:98c1:3109:c6c9:d8d0:ae6:cf31:ef73,218,245,226,0
2a06:98c1:3105:94d5:fce0:8b22:94b1:32f3,219,243,226,0
2606:4700:e:671e:203a:a743:acaa:8060,218,245,226,0
2803:f800:50:17c6:299d:b358:fca7:baa2,220,239,227,0
2606:4700:50:715e:433c:7fe1:650c:20b3,219,245,227,0
2606:4700:13f:506f:8c46:170b:2a76:2769,213,253,227,0
2606:4700:59:cc5f:c1fe:6e55:23f6:aa5d,215,239,227,0
2606:4700:14:ecfa:db67:f2c0:8b03:2fa7,218,240,228,0
2606:4700:1e:6bf7:9f13:dada:381e:b62c,206,248,228,0
2606:4700:3029:e425:1f25:e20d:38f3:1630,214,252,228,0
2606:4700:3019:5807:11e8:5075:ac9a:30ab,211,246,228,0
2606:4700:a1:7ec2:986c:2949:dcf5:2f5c,213,246,229,0
2a06:98c1:310a:d9a:3658:2bd9:6bef:4839,214,247,229,0
2606:4700:b:9a3f:477f:9bc9:e1b8:19aa,221,246,229,0
2606:4700:51:8e50:ab71:5a86:bd0b:5c70,217,250,229,0
2606:4700:300b:2849:dc50:7533:fbca:8cd9,208,256,229,0
2606:4700:13:8f31:9061:aa34:c9ba:8f4f,221,241,229,0
2606:4700:131:e971:c7c1:5e2c:9e21:ffc2,210,244,229,0
2a06:98c1:3100:3068:ad0c:70e0:45c7:4df6,217,250,229,0
2606:4700:1f:9e02:5bf1:fb1d:668:2fe6,216,248,229,0
2a06:98c1:3103:ddaf:c2f8:6a76:5811:e73b,212,250,229,0
2803:f800:52:9cb7:bba9:c907:434:9af8,218,254,230,0
2400:cb00:2049:686a:21f1:fb18:c7c5:8071,209,262,230,0
2606:4700:6:618a:a79d:e9f1:9af9:8575,221,245,230,0
2606:4700:3010:d0de:e436:bc14:344c:8b37,218,247,230,0
2606:4700:21:700d:490c:fd05:9e5a:eb0b,215,258,230,0
2606:4700:4402:8874:85c1:1aef:f342:d4e6,209,243,230,0
2606:4700:3039:d0be:95fa:6319:cd7:6892,222,245,230,0
2606:4700:3013:33b2:9870:6fe0:b795:d176,213,247,230,0
2606:4700:138:aa65:bbaa:4c93:c37f:ccdc,215,250,230,0
2606:4700:4403:b144:f093:913d:7f2b:cad7,213,247,230,0
2606:4700:4409:820a:f576:5b1c:63b0:6e30,218,257,230,0
2606:4700:134:f591:48f3:f929:5c55:1057,216,253,230,0
2606:4700:139:bb3b:ac85:219e:7fe8:ad92,223,240,230,0
2606:4700:3003:5c1f:1a3c:6d92:8736:38de,208,254,231,0
2606:4700:4408:4484:88a7:41a5:7526:c385,211,250,231,0
2606:4700:1b:7e7b:a903:d44a:d9d0:5e20,218,252,231,0
2606:4700:4404:5a6a:ec0e:ac01:d26e:9fda,215,250,231,0
2a06:98c1:310b:173a:3a00:f6a0:7173:9ef1,222,243,231,0
2606:4700:15:bd38:932e:5951:b2fd:7354,212,247,231,0
2606:4700:17:67f8:9828:2193:5547:b385,220,251,232,0
2606:4700:3118:5b99:1492:f579:b2ff:c43,216,247,232,0
2606:4700:c:e28a:8a07:b9be:ab9a:e303,218,246,232,0
2803:f800:54:91f6:ecef:8ce2:c7b7:a3e4,215,254,232,0
2606:4700:3008:2319:a729:bc5b:31b:ed82,216,248,232,0
2606:4700:3116:7e99:a3ea:60a7:6abb:c111,217,253,232,0
2a06:98c1:3104:c2b4:ec62:7cc6:80d9:a333,221,250,232,0
2a06:98c1:3101:1d5d:589b:61f9:5ec8:e132,219,254,232,0
2a06:98c1:310d:1d83:82bd:ca61:22e6:ba84,223,250,232,0
2606:4700:1d:211c:b184:ecf9:ed89:c401,217,247,232,0
2606:4700:3024:e140:3a69:de4a:4aed:cf96,209,250,232,0
2606:4700:9:16ae:a08e:8276:634c:869d,216,250,232,0
2a06:98c1:3102:f6f2:31f6:5ba2:ec85:1db1,222,250,232,0
2606:4700:4401:3779:44dd:1489:139d:5937,223,250,232,0
2606:4700:4700:68d3:b006:7774:aaba:d442,219,243,233,0
2606:4700:d:637b:7737:c3d9:e90f:7adb,214,247,233,0
2606:4700:3021:a696:f908:ee13:88bd:5037,212,263,233,0
2606:4700:440c:300d:45be:4b3f:109c:4c6b,222,250,233,0
2606:4700:3119:25c7:1aaa:e323:4285:d1bd,220,266,233,0
2a06:98c1:3107:b422:8bc4:34c7:507:aad5,218,258,233,0
2606:4700:19:64de:d366:460c:8f09:51e4,218,250,233,0
2400:cb00:f00e:ad6c:75b7:52f9:62cd:a0e0,217,253,233,0
2a06:98c1:3123:e133:2e3:9315:3319:e0d6,223,244,233,0
2606:4700:132:493f:81a1:420e:31b8:aba7,219,247,233,0
2606:4700:3027:7c86:fcc9:a22a:521:f324,215,245,233,0
2a06:98c1:52:ebd1:43c5:ea6b:6e50:9351,220,250,233,0
2a06:98c1:51:1829:d576:e19:ac29:a763,221,253,233,0
2606:4700:311c:acca:bcf2:f34e:a821:27d1,210,255,233,0
2606:4700:13e:e3a9:f801:19bc:5de7:6528,221,258,234,0
2606:4700:13b:7fd:2171:c178:fc77:1cad,222,244,234,0
2606:4700:3006:d2c8:2b6:1947:1801:8e39,220,250,234,0
2606:4700:3028:cb87:4c9d:a64d:d5fd:9a41,220,245,234,0
2606:4700:1a:27c1:1fdd:2fa:de75:b84f,222,246,234,0
2606:4700:440b:4f55:127c:7b0f:c137:1c72,211,258,234,0
2606:4700:3007:6009:3ba8:d7e2:cfd3:3583,221,252,234,0
2606:4700:3113:73ad:9a73:f28:bbac:6f38,208,254,234,0
2606:4700:3002:6b65:face:ba5d:6487:eb0,222,250,234,0
2606:4700:440d:6328:577e:19f2:830f:fad8,215,256,234,0
2606:4700:5c:6ddf:3424:2db7:ffa9:4f46,219,248,234,0
2606:4700:136:ecb7:b5e8:8aa4:b611:4bb2,217,259,234,0
2606:4700:3018:5e5e:255a:3e5f:60a0:dcab,222,246,234,0
2a06:98c1:310e:fcef:cbc5:aea5:5255:98a,221,250,234,0
2606:4700:1c:926c:23ab:5f80:a6e:706e,216,255,234,0
2606:4700:3000:705a:1b2a:82e8:e782:e8f2,224,250,234,0
2a06:98c1:58:d57b:eb8c:89c9:76:25a4,221,254,235,0
2606:4700:8:41b5:5d7b:fa07:cbcd:8006,218,257,235,0
2606:4700:53:b9:bafc:3bc4:52d5:24bc,217,248,235,0
2606:4700:3022:8fb2:dbc8:ce8a:1c1a:c858,214,256,235,0
2606:4700:440a:fb94:8983:fcc2:f15c:a587,224,250,235,0
2606:4700:3023:da6c:861d:5001:ecfb:e326,215,255,235,0
2606:4700:133:1d6:a467:994d:97fe:1346,223,247,235,0
2606:4700:4405:ade8:5224:3396:6d87:5175,221,250,235,0
2606:4700:3001:2ff1:d334:e8b9:14e4:61f0,228,249,235,0
2606:4700:3015:9644:3c86:c7be:3bae:c07,222,249,235,0
2606:4700:311d:1bf1:29b:552b:46d:dbcf,221,251,235,0
2a06:98c1:310f:2972:cc5a:5719:df9a:be50,218,250,235,0
2606:4700:3012:cd95:e54d:ab9d:b883:991e,223,249,235,0
2606:4700:0:831d:e464:db0b:918:317b,217,250,236,0
2803:f800:51:f3c0:2f4e:4354:6440:fdd2,219,258,236,0
2606:4700:3011:cef4:1c18:f6d2:867:d067,218,258,236,0
2606:4700:13c:8bba:4cac:dbde:c330:67d6,221,257,236,0
2606:4700:4406:8c1:7257:bc90:18b8:3f77,228,250,236,0
2a06:98c1:53:c0cc:8219:ebd7:1467:3bc7,216,260,236,0
2606:4700:16:d469:f8a0:c6bb:dfdf:f054,218,260,236,0
2606:4700:a:9990:5b5f:2266:b1ef:91dd,218,255,236,0
2606:4700:4407:afa2:1758:f903:59b7:d6f3,218,261,236,0
2a06:98c1:3106:da2e:3ce3:bbf6:687a:8aec,214,260,236,0
2606:4700:310c:d31a:60bf:f100:7d10:c5e7,213,260,236,0
2a06:98c1:56:2cf8:d047:dec3:be91:1194,214,260,236,0
2606:4700:4400:c7cd:bec5:4c9c:9af6:57d0,221,262,236,0
2606:4700:3055:12c3:9de7:91a2:9fd:98c3,218,257,236,0
2a06:98c1:310c:513e:bfc2:824f:516e:23c2,221,258,236,0
2606:4700:3005:2b9d:776f:1865:f5e9:65a4,227,259,236,0
2606:4700:3020:f22b:97bf:8bfd:6913:8f35,227,247,237,0
2803:f800:53:ee2:68b0:6ed9:a644:9e59,218,262,237,0
2606:4700:135:c2a3:8f66:6312:bacf:3745,220,259,237,0
2606:4700:3009:81bd:cde2:a466:5c88:cc51,218,250,237,0
2606:4700:3117:f4e4:bba4:3b96:53e9:a95b,218,259,237,0
2606:4700:4:e4ec:3fd0:5d0d:a961:5957,218,265,237,0
2606:4700:12:6af6:3b42:aa18:eb8:ec54,223,259,237,0
2606:4700:3038:b7b1:3ac5:f1ae:8ca1:1324,213,260,237,0
2606:4700:101:e2a3:e32a:3afd:b799:6626,227,256,237,0
2606:4700:3014:da59:16dd:2b2a:2c54:a85d,218,259,238,0
2606:4700:13a:ac3a:55:9547:3fa3:2461,220,258,238,0
2606:4700:130:9339:bda4:6cd4:93db:d8e3,218,259,238,0
2606:4700:137:674:bd11:d78:9df6:58de,226,258,238,0
2a06:98c1:3122:86da:765b:1498:9e2a:a422,222,259,238,0
2606:4700:11:4bdb:bd2:c851:b887:6861,220,261,238,0
2606:4700:2:19cb:3bc2:f4f4:d564:5843,219,259,238,0
2606:4700:3:435c:3728:e7c4:140d:8376,220,259,238,0
2606:4700:10f:83f0:ecb8:531f:3d9f:adf4,216,272,238,0
2606:4700:18:6281:d37:8661:6d47:d989,222,255,238,0
