IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.18.244.245,181,206,192,0
104.18.89.36,173,223,192,0
104.19.187.232,170,212,192,0
104.22.6.5,181,205,192,0
104.16.170.43,186,201,193,0
104.22.7.68,188,201,193,0
104.16.87.55,183,205,193,0
104.17.223.55,172,224,193,0
104.16.167.236,172,249,193,0
104.21.70.210,179,206,194,0
104.18.128.212,177,214,194,0
104.16.22.219,185,210,194,0
104.16.169.110,185,209,194,0
104.16.29.26,185,209,194,0
104.18.132.66,179,221,194,0
104.18.96.166,180,213,195,0
104.18.91.189,177,239,195,0
104.16.73.55,176,214,195,0
104.17.178.33,185,208,195,0
104.18.111.234,186,211,195,0
104.17.181.124,177,220,195,0
104.16.20.182,182,211,195,0
104.18.254.59,180,204,195,0
104.18.153.222,185,206,195,0
104.21.73.192,185,205,195,0
104.16.21.26,183,234,195,0
104.16.72.235,176,212,195,0
104.17.99.185,183,216,195,0
104.17.113.56,186,210,196,0
104.21.76.33,182,225,196,0
104.19.184.248,183,212,196,0
104.16.76.166,180,214,196,0
104.21.34.208,185,213,196,0
104.16.164.145,182,222,196,0
172.67.218.179,183,210,196,0
104.19.245.52,183,213,196,0
104.17.121.85,185,209,196,0
104.18.86.233,185,214,196,0
104.18.151.111,191,201,196,0
104.21.75.68,185,209,196,0
104.18.99.73,177,234,196,0
104.17.183.236,180,219,196,0
104.19.182.220,187,216,196,0
104.16.65.91,187,212,196,0
104.16.75.234,186,218,196,0
104.16.64.166,184,212,196,0
104.18.93.166,176,216,197,0
104.22.10.237,180,216,197,0
104.17.219.33,180,217,197,0
172.65.240.92,184,214,197,0
104.17.221.47,182,227,197,0
104.18.250.150,174,231,197,0
104.16.31.104,186,220,197,0
172.67.211.225,176,232,197,0
104.17.1.206,189,211,197,0
104.16.83.17,186,212,197,0
104.16.28.104,184,212,197,0
104.18.110.6,175,268,197,0
104.17.220.51,186,227,197,0
104.21.78.171,184,228,197,0
104.17.118.116,180,210,197,0
104.17.8.150,187,206,197,0
104.16.225.123,185,228,197,0
104.19.151.187,183,219,197,0
104.16.238.14,188,211,197,0
104.18.152.80,188,208,197,0
104.18.129.72,180,214,197,0
104.19.219.175,177,221,197,0
104.18.105.167,184,219,197,0
104.19.244.28,183,209,197,0
104.17.217.236,179,211,197,0
104.18.97.223,187,214,197,0
104.19.246.160,185,214,197,0
104.16.30.185,184,218,198,0
104.18.255.184,180,222,198,0
104.18.158.187,182,223,198,0
104.18.206.7,174,211,198,0
104.18.149.185,181,219,198,0
104.21.93.13,188,215,198,0
104.18.85.187,179,228,198,0
104.17.159.197,181,217,198,0
104.19.188.95,185,212,198,0
104.18.136.185,183,235,198,0
104.19.185.23,183,219,198,0
104.17.89.109,181,222,198,0
104.17.9.84,179,224,198,0
104.16.80.147,190,208,198,0
104.16.161.144,179,228,198,0
104.16.223.156,183,233,198,0
104.18.106.205,180,219,199,0
104.18.247.61,180,222,199,0
104.16.23.194,188,217,199,0
104.17.114.54,183,223,199,0
104.18.157.80,175,213,199,0
104.18.102.69,183,214,199,0
104.19.152.53,182,237,199,0
104.21.88.71,189,211,199,0
104.17.111.73,185,228,199,0
104.17.180.20,179,222,199,0
104.16.163.6,188,209,199,0
172.67.223.248,180,237,199,0
104.18.253.64,179,231,199,0
104.18.207.198,181,222,199,0
104.22.19.104,189,216,199,0
104.21.86.137,185,208,199,0
104.16.239.77,192,210,199,0
104.19.176.49,180,212,199,0
104.17.49.70,188,211,199,0
172.67.222.60,189,219,199,0
104.16.168.231,186,254,200,0
104.18.92.171,187,232,200,0
104.19.222.176,178,228,200,0
104.19.243.221,173,252,200,0
104.22.0.48,181,236,200,0
104.18.196.66,184,210,200,0
104.17.158.155,189,210,200,0
104.18.88.30,181,234,200,0
104.18.203.88,185,217,200,0
104.16.162.68,188,216,200,0
104.22.14.187,182,232,200,0
162.159.59.181,184,228,200,0
104.21.69.168,186,234,200,0
104.17.122.0,184,217,200,0
104.18.109.1,179,268,200,0
104.21.94.49,189,234,200,0
104.16.224.206,187,216,201,0
104.18.84.147,189,213,201,0
104.17.112.185,190,225,201,0
104.17.175.163,188,215,201,0
104.17.169.91,190,211,201,0
172.67.214.128,183,237,201,0
104.18.108.75,186,267,201,0
172.67.208.195,181,268,201,0
104.17.120.56,185,253,201,0
104.18.98.25,179,224,201,0
104.21.90.197,182,221,201,0
104.21.80.117,182,267,201,0
104.17.117.61,186,217,201,0
104.22.4.173,192,217,201,0
104.19.150.249,186,279,201,0
104.19.190.189,183,222,201,0
104.22.18.168,186,220,201,0
104.19.186.209,178,227,201,0
104.19.250.66,185,230,202,0
108.162.198.132,186,214,202,0
104.16.84.255,186,216,202,0
104.18.107.152,184,232,202,0
104.22.2.65,192,213,202,0
104.18.148.44,181,234,202,0
104.16.89.85,180,222,202,0
104.21.84.226,181,233,202,0
104.19.217.220,188,249,202,0
104.16.160.187,185,213,202,0
104.18.173.166,183,231,202,0
104.21.89.159,186,220,202,0
104.18.95.3,180,219,202,0
104.16.68.178,192,222,202,0
104.16.24.138,185,237,202,0
104.17.171.171,181,232,202,0
104.17.100.161,187,216,202,0
104.21.85.222,187,210,202,0
104.19.254.185,190,237,202,0
104.16.173.150,191,237,202,0
104.18.100.198,192,215,202,0
104.18.81.134,187,224,202,0
104.19.179.170,190,212,203,0
104.17.11.250,192,219,203,0
104.16.226.75,178,237,203,0
104.22.9.22,182,268,203,0
104.16.237.14,189,211,203,0
104.17.218.84,180,237,203,0
104.18.80.253,179,237,203,0
172.67.213.83,196,213,203,0
104.16.66.11,180,237,203,0
172.67.215.102,181,268,203,0
104.16.27.144,189,224,203,0
104.17.160.234,188,218,203,0
104.16.227.202,190,237,203,0
104.16.222.34,194,232,203,0
104.21.95.220,194,219,203,0
104.18.103.77,183,266,203,0
104.18.159.165,186,237,204,0
104.19.180.127,180,232,204,0
104.21.71.166,187,237,204,0
104.18.104.194,185,243,204,0
104.19.249.118,183,226,204,0
104.16.171.152,179,243,204,0
104.17.222.197,185,268,204,0
104.19.178.237,186,230,204,0
104.16.67.169,191,223,204,0
104.16.70.120,192,226,204,0
104.18.248.169,188,242,204,0
104.18.155.68,190,224,204,0
104.18.101.195,187,232,205,0
104.19.153.71,182,268,205,0
104.18.154.79,193,220,205,0
172.67.216.91,186,267,205,0
104.18.161.38,189,237,205,0
104.16.26.129,193,215,205,0
104.18.242.51,186,251,205,0
104.18.175.47,185,267,205,0
104.19.177.210,197,219,205,0
104.18.150.25,188,228,205,0
104.17.176.79,185,238,205,0
172.67.212.245,185,227,205,0
104.18.135.37,182,266,205,0
104.18.133.25,186,237,205,0
104.17.84.147,188,267,205,0
104.18.241.160,189,238,205,0
104.21.92.16,193,235,206,0
172.67.220.48,186,239,206,0
172.67.217.113,186,268,206,0
104.19.242.178,185,272,206,0
104.19.149.31,186,238,206,0
104.18.146.209,193,229,206,0
104.19.251.53,186,237,206,0
104.17.96.6,189,237,206,0
104.18.245.212,190,237,206,0
104.18.193.189,192,239,206,0
104.17.97.35,185,244,206,0
172.67.210.33,189,236,206,0
104.18.94.101,185,266,206,0
104.17.119.221,185,241,206,0
104.21.79.245,185,230,206,0
104.18.174.29,184,267,206,0
104.17.91.213,190,222,206,0
104.27.198.107,175,271,207,0
104.16.71.147,181,237,207,0
104.16.221.55,183,280,207,0
104.17.172.105,176,256,207,0
104.17.184.227,185,235,207,0
104.17.179.106,182,244,207,0
104.17.177.103,184,219,207,0
104.18.194.179,189,230,207,0
104.19.252.123,193,237,207,0
104.17.85.44,187,260,208,0
104.16.205.214,191,252,208,0
104.17.168.18,186,251,208,0
104.22.1.113,187,267,208,0
104.18.166.133,185,273,208,0
104.16.217.37,185,237,208,0
104.17.115.52,189,262,208,0
104.18.243.110,186,262,209,0
172.67.209.133,180,268,209,0
104.19.223.154,185,267,209,0
104.16.25.200,192,237,209,0
104.19.248.167,193,237,209,0
104.21.74.205,182,267,210,0
104.21.81.72,175,267,210,0
104.18.82.26,185,278,210,0
104.22.8.10,186,266,210,0
104.17.98.83,187,264,210,0
104.22.15.61,189,256,210,0
104.19.132.128,174,223,210,0
104.18.143.198,183,278,210,0
104.19.181.40,189,266,210,0
104.21.77.89,192,266,211,0
104.16.240.86,180,277,211,0
104.18.160.203,189,265,211,0
104.16.82.55,183,260,211,0
104.16.69.207,183,266,211,0
104.17.95.22,195,237,211,0
